dataset,scope,configuration,early_window,feature_count,detector,watchlist_threshold,high_risk_threshold,real_training_count,synthetic_training_count,target_horizon,selected_by_validation,normal_count,watchlist_count,high_risk_count,tp,tn,fp,fn,precision,recall,f1,fpr,fnr,pr_auc,roc_auc
FD001,VALIDATION,real_only,1-30,168,existing 50/50 Z-score + Isolation Forest,0.8071428571428572,0.8857142857142857,70,0,135.8,False,11,3,1,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308
FD001,VALIDATION,real_plus_sdv,1-30,168,existing 50/50 Z-score + Isolation Forest,0.8971428571428571,0.9164285714285714,140,70,135.8,True,12,2,1,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.7,0.8846153846153846
FD001,TEST_LOCKED,selected_validation_configuration,1-30,168,existing 50/50 Z-score + Isolation Forest,0.8971428571428571,0.9164285714285714,140,70,135.8,True,13,1,1,0,10,2,3,0.0,0.0,,0.16666666666666666,1.0,0.2078754578754579,0.38888888888888884
FD002,VALIDATION,real_only,1-30,168,existing 50/50 Z-score + Isolation Forest,0.9082417582417582,0.9412087912087912,182,0,138.0,True,33,4,2,0,25,6,8,0.0,0.0,,0.1935483870967742,1.0,0.16146559316364217,0.3064516129032258
FD002,VALIDATION,real_plus_sdv,1-30,168,existing 50/50 Z-score + Isolation Forest,0.8766483516483516,0.9491758241758241,364,182,138.0,False,33,3,3,0,25,6,8,0.0,0.0,,0.1935483870967742,1.0,0.18477928082180234,0.3951612903225807
FD002,TEST_LOCKED,selected_validation_configuration,1-30,168,existing 50/50 Z-score + Isolation Forest,0.9082417582417582,0.9412087912087912,182,0,138.0,False,37,1,1,0,28,2,9,0.0,0.0,,0.06666666666666667,1.0,0.19741449319174004,0.36851851851851847
FD003,VALIDATION,real_only,1-30,168,existing 50/50 Z-score + Isolation Forest,0.7978571428571429,0.8978571428571428,70,0,156.6,True,12,2,1,0,6,3,6,0.0,0.0,,0.3333333333333333,1.0,0.35454545454545455,0.32407407407407407
FD003,VALIDATION,real_plus_sdv,1-30,168,existing 50/50 Z-score + Isolation Forest,0.7785714285714287,0.945,140,70,156.6,False,12,2,1,0,6,3,6,0.0,0.0,,0.3333333333333333,1.0,0.35505050505050506,0.3333333333333333
FD003,TEST_LOCKED,selected_validation_configuration,1-30,168,existing 50/50 Z-score + Isolation Forest,0.7978571428571429,0.8978571428571428,70,0,156.6,False,13,1,1,0,10,2,3,0.0,0.0,,0.16666666666666666,1.0,0.23164983164983166,0.4861111111111111
FD004,VALIDATION,real_only,1-30,168,existing 50/50 Z-score + Isolation Forest,0.8034482758620689,0.8373563218390805,174,0,154.0,True,31,4,2,2,24,4,7,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.14285714285714285,0.7777777777777778,0.3469487339390004,0.5773809523809523
FD004,VALIDATION,real_plus_sdv,1-30,168,existing 50/50 Z-score + Isolation Forest,0.825,0.8830459770114942,348,174,154.0,False,31,4,2,2,24,4,7,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.14285714285714285,0.7777777777777778,0.2661639550595073,0.49206349206349204
FD004,TEST_LOCKED,selected_validation_configuration,1-30,168,existing 50/50 Z-score + Isolation Forest,0.8034482758620689,0.8373563218390805,174,0,154.0,False,31,0,7,0,21,7,10,0.0,0.0,,0.25,1.0,0.22630072707776694,0.3732142857142857
