window,feature_family,feature_count,validation_tp,validation_tn,validation_fp,validation_fn,validation_precision,validation_recall,validation_f1,validation_fpr,validation_fnr,validation_pr_auc,validation_roc_auc,test_tp,test_tn,test_fp,test_fn,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_pr_auc,test_roc_auc,positive_mean_rank_percentile,positive_engine_details
1-30,All current features,168,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,0,9,3,3,0.0,0.0,,0.25,1.0,0.2102564102564103,0.2777777777777778,30.952380952380953,"[{""engine_id"": 13, ""risk_score"": 0.4, ""rank_descending"": 9, ""rank_percentile"": 42.857142857142854, ""negative_engines_ranked_below"": 4, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 36, ""risk_score"": 0.22857142857142856, ""rank_descending"": 13, ""rank_percentile"": 14.285714285714286, ""negative_engines_ranked_below"": 2, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 65, ""risk_score"": 0.4, ""rank_descending"": 10, ""rank_percentile"": 35.714285714285715, ""negative_engines_ranked_below"": 4, ""crosses_watchlist"": false, ""crosses_high_risk"": false}]"
1-30,Temporal only,84,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.375,0.7307692307692307,0,12,0,3,,0.0,,0.0,1.0,0.25,0.41666666666666663,42.857142857142854,"[{""engine_id"": 13, ""risk_score"": 0.5357142857142857, ""rank_descending"": 7, ""rank_percentile"": 57.142857142857146, ""negative_engines_ranked_below"": 6, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 36, ""risk_score"": 0.37142857142857144, ""rank_descending"": 12, ""rank_percentile"": 21.428571428571427, ""negative_engines_ranked_below"": 3, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 65, ""risk_score"": 0.5357142857142857, ""rank_descending"": 8, ""rank_percentile"": 50.0, ""negative_engines_ranked_below"": 6, ""crosses_watchlist"": false, ""crosses_high_risk"": false}]"
1-30,Distribution/statistical only,84,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.7,0.8846153846153847,0,10,2,3,0.0,0.0,,0.16666666666666666,1.0,0.18062678062678064,0.2777777777777778,30.952380952380953,"[{""engine_id"": 13, ""risk_score"": 0.17857142857142855, ""rank_descending"": 10, ""rank_percentile"": 35.714285714285715, ""negative_engines_ranked_below"": 4, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 36, ""risk_score"": 0.12857142857142856, ""rank_descending"": 13, ""rank_percentile"": 14.285714285714286, ""negative_engines_ranked_below"": 2, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 65, ""risk_score"": 0.17857142857142858, ""rank_descending"": 9, ""rank_percentile"": 42.857142857142854, ""negative_engines_ranked_below"": 4, ""crosses_watchlist"": false, ""crosses_high_risk"": false}]"
1-30,Recurring-signal sensors,48,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.6666666666666666,0.8461538461538461,0,9,3,3,0.0,0.0,,0.25,1.0,0.18514818514818515,0.3194444444444444,33.333333333333336,"[{""engine_id"": 13, ""risk_score"": 0.5928571428571429, ""rank_descending"": 7, ""rank_percentile"": 57.142857142857146, ""negative_engines_ranked_below"": 6, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 36, ""risk_score"": 0.2285714285714286, ""rank_descending"": 13, ""rank_percentile"": 14.285714285714286, ""negative_engines_ranked_below"": 2, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 65, ""risk_score"": 0.4357142857142857, ""rank_descending"": 11, ""rank_percentile"": 28.571428571428573, ""negative_engines_ranked_below"": 3, ""crosses_watchlist"": false, ""crosses_high_risk"": false}]"
1-50,All current features,168,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.6,0.6923076923076923,0,11,1,3,0.0,0.0,,0.08333333333333333,1.0,0.18716931216931215,0.3055555555555555,33.333333333333336,"[{""engine_id"": 13, ""risk_score"": 0.5071428571428571, ""rank_descending"": 8, ""rank_percentile"": 50.0, ""negative_engines_ranked_below"": 5, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 36, ""risk_score"": 0.48571428571428577, ""rank_descending"": 9, ""rank_percentile"": 42.857142857142854, ""negative_engines_ranked_below"": 5, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 65, ""risk_score"": 0.17857142857142858, ""rank_descending"": 14, ""rank_percentile"": 7.142857142857143, ""negative_engines_ranked_below"": 1, ""crosses_watchlist"": false, ""crosses_high_risk"": false}]"
1-50,Temporal only,84,0,10,3,2,0.0,0.0,,0.23076923076923078,1.0,0.25,0.6730769230769231,0,11,1,3,0.0,0.0,,0.08333333333333333,1.0,0.2611111111111111,0.5277777777777778,52.38095238095238,"[{""engine_id"": 13, ""risk_score"": 0.6428571428571429, ""rank_descending"": 6, ""rank_percentile"": 64.28571428571429, ""negative_engines_ranked_below"": 8, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 36, ""risk_score"": 0.7071428571428572, ""rank_descending"": 5, ""rank_percentile"": 71.42857142857143, ""negative_engines_ranked_below"": 8, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 65, ""risk_score"": 0.3, ""rank_descending"": 12, ""rank_percentile"": 21.428571428571427, ""negative_engines_ranked_below"": 3, ""crosses_watchlist"": false, ""crosses_high_risk"": false}]"
1-50,Distribution/statistical only,84,2,12,1,0,0.6666666666666666,1.0,0.8,0.07692307692307693,0.0,0.8333333333333333,0.9615384615384616,0,10,2,3,0.0,0.0,,0.16666666666666666,1.0,0.1875901875901876,0.3194444444444444,33.333333333333336,"[{""engine_id"": 13, ""risk_score"": 0.37142857142857144, ""rank_descending"": 11, ""rank_percentile"": 28.571428571428573, ""negative_engines_ranked_below"": 3, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 36, ""risk_score"": 0.5071428571428571, ""rank_descending"": 6, ""rank_percentile"": 64.28571428571429, ""negative_engines_ranked_below"": 7, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 65, ""risk_score"": 0.07857142857142857, ""rank_descending"": 14, ""rank_percentile"": 7.142857142857143, ""negative_engines_ranked_below"": 1, ""crosses_watchlist"": false, ""crosses_high_risk"": false}]"
1-50,Recurring-signal sensors,48,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.5833333333333334,0.6153846153846154,2,9,3,1,0.4,0.6666666666666666,0.5,0.25,0.3333333333333333,0.28809523809523807,0.5416666666666666,52.38095238095238,"[{""engine_id"": 13, ""risk_score"": 0.7285714285714286, ""rank_descending"": 4, ""rank_percentile"": 78.57142857142857, ""negative_engines_ranked_below"": 9, ""crosses_watchlist"": true, ""crosses_high_risk"": false}, {""engine_id"": 36, ""risk_score"": 0.7285714285714285, ""rank_descending"": 5, ""rank_percentile"": 71.42857142857143, ""negative_engines_ranked_below"": 9, ""crosses_watchlist"": true, ""crosses_high_risk"": false}, {""engine_id"": 65, ""risk_score"": 0.35, ""rank_descending"": 14, ""rank_percentile"": 7.142857142857143, ""negative_engines_ranked_below"": 1, ""crosses_watchlist"": false, ""crosses_high_risk"": false}]"
1-75,All current features,168,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.6666666666666666,0.8461538461538461,0,7,5,3,0.0,0.0,,0.4166666666666667,1.0,0.19155844155844157,0.3611111111111111,38.095238095238095,"[{""engine_id"": 13, ""risk_score"": 0.5714285714285714, ""rank_descending"": 7, ""rank_percentile"": 57.142857142857146, ""negative_engines_ranked_below"": 6, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 36, ""risk_score"": 0.4642857142857143, ""rank_descending"": 10, ""rank_percentile"": 35.714285714285715, ""negative_engines_ranked_below"": 3, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 65, ""risk_score"": 0.3642857142857143, ""rank_descending"": 12, ""rank_percentile"": 21.428571428571427, ""negative_engines_ranked_below"": 3, ""crosses_watchlist"": false, ""crosses_high_risk"": false}]"
1-75,Temporal only,84,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.45,0.8461538461538461,0,8,4,3,0.0,0.0,,0.3333333333333333,1.0,0.20655270655270655,0.38888888888888884,40.47619047619048,"[{""engine_id"": 13, ""risk_score"": 0.6714285714285715, ""rank_descending"": 6, ""rank_percentile"": 64.28571428571429, ""negative_engines_ranked_below"": 7, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 36, ""risk_score"": 0.38571428571428573, ""rank_descending"": 13, ""rank_percentile"": 14.285714285714286, ""negative_engines_ranked_below"": 2, ""crosses_watchlist"": false, ""crosses_high_risk"": false}, {""engine_id"": 65, ""risk_score"": 0.5785714285714285, ""rank_descending"": 9, ""rank_percentile"": 42.857142857142854, ""negative_engines_ranked_below"": 5, ""crosses_watchlist"": false, ""crosses_high_risk"": false}]"
