record_type,configuration,feature_window,feature_count,selected_sensors,selected_features,threshold_name,threshold,target_early_end_cycle,target_training_quantile,target_remaining_cycle_horizon,feature_selection_rule,leakage_checks,confusion_matrix,tp,tn,fp,fn,precision,recall,f1,fpr,fnr,pr_auc,roc_auc,training_selection_rank,training_sensor_score,selected_for_candidate
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_17,"{""sensor_17_delta"": 0.22950309943894903, ""sensor_17_first"": 0.2119394496277887, ""sensor_17_last"": 0.06453194748879061, ""sensor_17_max"": 0.20585004014076164, ""sensor_17_mean"": 0.026261538529016734, ""sensor_17_min"": 1.4748640570110215e-17, ""sensor_17_slope"": 0.14000711649186187, ""sensor_17_std"": 0.16685617692529886}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=1; selected=True,,,,,,,,,,,,,1,0.13061867108030845,True
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_12,"{""sensor_12_delta"": 0.07285396816597606, ""sensor_12_first"": 0.05746354298685072, ""sensor_12_last"": 0.11686877751110214, ""sensor_12_max"": 0.01055861985285287, ""sensor_12_mean"": 0.044046759051658245, ""sensor_12_min"": 0.06554869973971553, ""sensor_12_slope"": 0.44431379301841334, ""sensor_12_std"": 0.21252973589715676}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=2; selected=True,,,,,,,,,,,,,2,0.12802298702796572,True
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_9,"{""sensor_9_delta"": 0.17697098472003842, ""sensor_9_first"": 0.13780726097679982, ""sensor_9_last"": 0.00465697364789925, ""sensor_9_max"": 0.05806722098074434, ""sensor_9_mean"": 0.06786209368152583, ""sensor_9_min"": 0.0012583379179377208, ""sensor_9_slope"": 0.1291208807566866, ""sensor_9_std"": 0.3171434839550806}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=3; selected=True,,,,,,,,,,,,,3,0.11161090457958908,True
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_15,"{""sensor_15_delta"": 0.18361376465828275, ""sensor_15_first"": 0.058649450422450296, ""sensor_15_last"": 0.13835992720639642, ""sensor_15_max"": 0.034956215004726954, ""sensor_15_mean"": 0.06854192007393586, ""sensor_15_min"": 0.0658131837925442, ""sensor_15_slope"": 0.11792306031420899, ""sensor_15_std"": 0.15025345556931388}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=4; selected=True,,,,,,,,,,,,,4,0.10226387213023241,True
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_2,"{""sensor_2_delta"": 0.05592654956852849, ""sensor_2_first"": 0.18876360819324034, ""sensor_2_last"": 0.24201742272718846, ""sensor_2_max"": 0.03222496062821209, ""sensor_2_mean"": 0.07069245475959501, ""sensor_2_min"": 0.010512833934656648, ""sensor_2_slope"": 0.15382638911838648, ""sensor_2_std"": 0.011965275197296055}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=5; selected=True,,,,,,,,,,,,,5,0.09574118676588794,True
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_6,"{""sensor_6_delta"": 0.08122955416108228, ""sensor_6_first"": 0.12309149097933283, ""sensor_6_last"": 0.06019292654288474, ""sensor_6_max"": 0.0, ""sensor_6_mean"": 0.20523618155553922, ""sensor_6_min"": 0.04301545010073031, ""sensor_6_slope"": 0.08989661880739946, ""sensor_6_std"": 0.15171274925711717}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=6; selected=True,,,,,,,,,,,,,6,0.09429687142551076,True
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_13,"{""sensor_13_delta"": 0.17105433392591243, ""sensor_13_first"": 0.10262484530105122, ""sensor_13_last"": 0.04313508060476534, ""sensor_13_max"": 0.04022056004019904, ""sensor_13_mean"": 0.01622650199721768, ""sensor_13_min"": 0.060461766319888866, ""sensor_13_slope"": 0.24012242292393376, ""sensor_13_std"": 0.054453178369949735}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=7; selected=False,,,,,,,,,,,,,7,0.09103733618536476,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_4,"{""sensor_4_delta"": 0.1398394061866231, ""sensor_4_first"": 0.09862246615207046, ""sensor_4_last"": 0.029313598464246624, ""sensor_4_max"": 0.06851394188681781, ""sensor_4_mean"": 0.037245936620629125, ""sensor_4_min"": 0.006939577643992418, ""sensor_4_slope"": 0.1428705098385679, ""sensor_4_std"": 0.18733063706675637}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=8; selected=False,,,,,,,,,,,,,8,0.08883450923246297,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_11,"{""sensor_11_delta"": 0.051017978920380305, ""sensor_11_first"": 0.055650928148314883, ""sensor_11_last"": 0.019739006373308342, ""sensor_11_max"": 0.1364101196957739, ""sensor_11_mean"": 0.02546684710325582, ""sensor_11_min"": 0.06652632998604577, ""sensor_11_slope"": 0.0737689632492435, ""sensor_11_std"": 0.22629677048737026}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=9; selected=False,,,,,,,,,,,,,9,0.0818596179954616,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_7,"{""sensor_7_delta"": 0.13162161516174917, ""sensor_7_first"": 0.15652306764181867, ""sensor_7_last"": 0.02938041701132116, ""sensor_7_max"": 0.09749747173099807, ""sensor_7_mean"": 0.05697070355889482, ""sensor_7_min"": 0.06840242771241097, ""sensor_7_slope"": 0.06194964445912184, ""sensor_7_std"": 0.02934884929983038}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=10; selected=False,,,,,,,,,,,,,10,0.07896177457201814,False
