alert_constraint_fallback,alert_count,dataset,engine_count,f1,fn,fnr,fp,fpr,high_risk_count,high_risk_threshold,isolation_weight,normal_count,pr_auc,precision,recall,roc_auc,scope,selected,tn,tp,watchlist_count,watchlist_threshold,z_weight
,6,FD002,39,0.14285714285714288,7,0.875,5,0.16129032258064516,2,0.9692307692307692,1.0,33,0.17455375887361183,0.16666666666666666,0.125,0.3629032258064516,VALIDATION,,26,1,4,0.939010989010989,0.0
,6,FD002,39,0.14285714285714288,7,0.875,5,0.16129032258064516,2,0.9586813186813188,0.9,33,0.172922530696331,0.16666666666666666,0.125,0.342741935483871,VALIDATION,,26,1,4,0.9344505494505494,0.1
,7,FD002,39,0.13333333333333333,7,0.875,6,0.1935483870967742,2,0.9510989010989012,0.8,32,0.16758390002875295,0.14285714285714285,0.125,0.3286290322580645,VALIDATION,,25,1,5,0.932967032967033,0.2
,6,FD002,39,,8,1.0,6,0.1935483870967742,2,0.9469780219780219,0.7,33,0.16412536932837446,0.0,0.0,0.31451612903225806,VALIDATION,,25,0,4,0.925989010989011,0.3
,6,FD002,39,,8,1.0,6,0.1935483870967742,2,0.9428571428571428,0.6,33,0.16312150008270698,0.0,0.0,0.31451612903225806,VALIDATION,,25,0,4,0.9184615384615384,0.4
,6,FD002,39,,8,1.0,6,0.1935483870967742,2,0.9412087912087912,0.5,33,0.16146559316364217,0.0,0.0,0.3064516129032258,VALIDATION,,25,0,4,0.9082417582417582,0.5
,6,FD002,39,,8,1.0,6,0.1935483870967742,2,0.9425274725274725,0.4,33,0.16479121491031654,0.0,0.0,0.31048387096774194,VALIDATION,,25,0,4,0.8987912087912088,0.6
,6,FD002,39,,8,1.0,6,0.1935483870967742,2,0.9429670329670331,0.30000000000000004,33,0.16616484128394293,0.0,0.0,0.3185483870967742,VALIDATION,,25,0,4,0.8909340659340659,0.7
,6,FD002,39,,8,1.0,6,0.1935483870967742,2,0.9372527472527473,0.19999999999999996,33,0.17260306701096173,0.0,0.0,0.3266129032258065,VALIDATION,,25,0,4,0.8897802197802196,0.8
,6,FD002,39,,8,1.0,6,0.1935483870967742,2,0.933021978021978,0.09999999999999998,33,0.17752411709330215,0.0,0.0,0.32661290322580644,VALIDATION,,25,0,4,0.8901098901098901,0.9
