scope,configuration,feature_window,feature_family,feature_count,threshold_name,threshold,target_early_end_cycle,target_training_quantile,target_remaining_cycle_horizon,selected_from_validation,tp,tn,fp,fn,precision,recall,f1,fpr,fnr,pr_auc,roc_auc
validation,Baseline: 1-30 all current features,1-30,all current features,168,current 85th percentile watchlist,0.8071428571428572,30,0.2,135.8,False,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308
validation,Baseline: 1-30 all current features,1-30,all current features,168,current 95th percentile high-risk,0.8857142857142857,30,0.2,135.8,True,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.6111111111111112,0.7307692307692308
validation,Baseline: 1-30 all current features,1-30,all current features,168,fixed 0.50,0.5,30,0.2,135.8,False,1,6,7,1,0.125,0.5,0.2,0.5384615384615384,0.5,0.6111111111111112,0.7307692307692308
validation,Baseline: 1-30 all current features,1-30,all current features,168,fixed 0.60,0.6,30,0.2,135.8,False,1,9,4,1,0.2,0.5,0.28571428571428575,0.3076923076923077,0.5,0.6111111111111112,0.7307692307692308
validation,Baseline: 1-30 all current features,1-30,all current features,168,fixed 0.65,0.65,30,0.2,135.8,False,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308
validation,Baseline: 1-30 all current features,1-30,all current features,168,fixed 0.70,0.7,30,0.2,135.8,False,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308
validation,Baseline: 1-30 all current features,1-30,all current features,168,fixed 0.75,0.75,30,0.2,135.8,False,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308
validation,Baseline: 1-30 all current features,1-30,all current features,168,fixed 0.80,0.8,30,0.2,135.8,False,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308
validation,Baseline: 1-30 all current features,1-30,all current features,168,fixed 0.85,0.85,30,0.2,135.8,False,1,12,1,1,0.5,0.5,0.5,0.07692307692307693,0.5,0.6111111111111112,0.7307692307692308
validation,Baseline: 1-30 all current features,1-30,all current features,168,fixed 0.90,0.9,30,0.2,135.8,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.6111111111111112,0.7307692307692308
validation,Baseline: 1-30 all current features,1-30,all current features,168,fixed 0.95,0.95,30,0.2,135.8,False,0,13,0,2,,0.0,,0.0,1.0,0.6111111111111112,0.7307692307692308
validation,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,current 85th percentile watchlist,0.6778571428571429,30,0.2,135.8,False,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.5833333333333334,0.6153846153846154
validation,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,current 95th percentile high-risk,0.8957142857142857,30,0.2,135.8,True,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.5833333333333334,0.6153846153846154
validation,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,fixed 0.50,0.5,30,0.2,135.8,False,1,6,7,1,0.125,0.5,0.2,0.5384615384615384,0.5,0.5833333333333334,0.6153846153846154
validation,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,fixed 0.60,0.6,30,0.2,135.8,False,1,9,4,1,0.2,0.5,0.28571428571428575,0.3076923076923077,0.5,0.5833333333333334,0.6153846153846154
validation,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,fixed 0.65,0.65,30,0.2,135.8,False,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.5833333333333334,0.6153846153846154
validation,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,fixed 0.70,0.7,30,0.2,135.8,False,1,12,1,1,0.5,0.5,0.5,0.07692307692307693,0.5,0.5833333333333334,0.6153846153846154
validation,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,fixed 0.75,0.75,30,0.2,135.8,False,1,12,1,1,0.5,0.5,0.5,0.07692307692307693,0.5,0.5833333333333334,0.6153846153846154
validation,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,fixed 0.80,0.8,30,0.2,135.8,False,1,12,1,1,0.5,0.5,0.5,0.07692307692307693,0.5,0.5833333333333334,0.6153846153846154
validation,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,fixed 0.85,0.85,30,0.2,135.8,False,1,12,1,1,0.5,0.5,0.5,0.07692307692307693,0.5,0.5833333333333334,0.6153846153846154
validation,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,fixed 0.90,0.9,30,0.2,135.8,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.5833333333333334,0.6153846153846154
validation,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,fixed 0.95,0.95,30,0.2,135.8,False,0,13,0,2,,0.0,,0.0,1.0,0.5833333333333334,0.6153846153846154
locked_test,Baseline: 1-30 all current features,1-30,all current features,168,locked validation selection: current 95th percentile high-risk,0.8857142857142857,30,0.2,135.8,True,0,11,1,3,0.0,0.0,,0.08333333333333333,1.0,0.2102564102564103,0.2777777777777778
locked_test,Candidate: 1-50 recurring-signal sensors,1-50,recurring-signal sensors,48,locked validation selection: current 95th percentile high-risk,0.8957142857142857,30,0.2,135.8,True,0,12,0,3,,0.0,,0.0,1.0,0.28809523809523807,0.5416666666666666
