evaluation_split,model,watchlist_threshold,high_risk_threshold,tp,tn,fp,fn,precision,recall,f1,fpr,fnr,pr_auc,roc_auc,normal_count,watchlist_count,high_risk_count,alert_rate_defensible
VALIDATION,threshold_candidate,0.8071428571428572,0.8857142857142857,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,3,1,True
VALIDATION,threshold_candidate,0.5,0.55,1,6,7,1,0.125,0.5,0.2,0.5384615384615384,0.5,0.6111111111111112,0.7307692307692308,7,2,6,False
VALIDATION,threshold_candidate,0.5,0.6,1,6,7,1,0.125,0.5,0.2,0.5384615384615384,0.5,0.6111111111111112,0.7307692307692308,7,3,5,False
VALIDATION,threshold_candidate,0.5,0.65,1,6,7,1,0.125,0.5,0.2,0.5384615384615384,0.5,0.6111111111111112,0.7307692307692308,7,4,4,False
VALIDATION,threshold_candidate,0.5,0.7,1,6,7,1,0.125,0.5,0.2,0.5384615384615384,0.5,0.6111111111111112,0.7307692307692308,7,4,4,False
VALIDATION,threshold_candidate,0.5,0.75,1,6,7,1,0.125,0.5,0.2,0.5384615384615384,0.5,0.6111111111111112,0.7307692307692308,7,4,4,False
VALIDATION,threshold_candidate,0.5,0.8,1,6,7,1,0.125,0.5,0.2,0.5384615384615384,0.5,0.6111111111111112,0.7307692307692308,7,4,4,False
VALIDATION,threshold_candidate,0.5,0.85,1,6,7,1,0.125,0.5,0.2,0.5384615384615384,0.5,0.6111111111111112,0.7307692307692308,7,6,2,False
VALIDATION,threshold_candidate,0.5,0.9,1,6,7,1,0.125,0.5,0.2,0.5384615384615384,0.5,0.6111111111111112,0.7307692307692308,7,7,1,False
VALIDATION,threshold_candidate,0.5,0.95,1,6,7,1,0.125,0.5,0.2,0.5384615384615384,0.5,0.6111111111111112,0.7307692307692308,7,8,0,False
VALIDATION,threshold_candidate,0.55,0.6,1,8,5,1,0.16666666666666666,0.5,0.25,0.38461538461538464,0.5,0.6111111111111112,0.7307692307692308,9,1,5,True
VALIDATION,threshold_candidate,0.55,0.65,1,8,5,1,0.16666666666666666,0.5,0.25,0.38461538461538464,0.5,0.6111111111111112,0.7307692307692308,9,2,4,True
VALIDATION,threshold_candidate,0.55,0.7,1,8,5,1,0.16666666666666666,0.5,0.25,0.38461538461538464,0.5,0.6111111111111112,0.7307692307692308,9,2,4,True
VALIDATION,threshold_candidate,0.55,0.75,1,8,5,1,0.16666666666666666,0.5,0.25,0.38461538461538464,0.5,0.6111111111111112,0.7307692307692308,9,2,4,True
VALIDATION,threshold_candidate,0.55,0.8,1,8,5,1,0.16666666666666666,0.5,0.25,0.38461538461538464,0.5,0.6111111111111112,0.7307692307692308,9,2,4,True
VALIDATION,threshold_candidate,0.55,0.85,1,8,5,1,0.16666666666666666,0.5,0.25,0.38461538461538464,0.5,0.6111111111111112,0.7307692307692308,9,4,2,True
VALIDATION,threshold_candidate,0.55,0.9,1,8,5,1,0.16666666666666666,0.5,0.25,0.38461538461538464,0.5,0.6111111111111112,0.7307692307692308,9,5,1,True
VALIDATION,threshold_candidate,0.55,0.95,1,8,5,1,0.16666666666666666,0.5,0.25,0.38461538461538464,0.5,0.6111111111111112,0.7307692307692308,9,6,0,True
VALIDATION,threshold_candidate,0.6,0.65,1,9,4,1,0.2,0.5,0.28571428571428575,0.3076923076923077,0.5,0.6111111111111112,0.7307692307692308,10,1,4,True
VALIDATION,threshold_candidate,0.6,0.7,1,9,4,1,0.2,0.5,0.28571428571428575,0.3076923076923077,0.5,0.6111111111111112,0.7307692307692308,10,1,4,True
VALIDATION,threshold_candidate,0.6,0.75,1,9,4,1,0.2,0.5,0.28571428571428575,0.3076923076923077,0.5,0.6111111111111112,0.7307692307692308,10,1,4,True
VALIDATION,threshold_candidate,0.6,0.8,1,9,4,1,0.2,0.5,0.28571428571428575,0.3076923076923077,0.5,0.6111111111111112,0.7307692307692308,10,1,4,True
